model,epoch,type:P,type:R,type:F1,PerpInd:P,PerpInd:R,PerpInd:F1,PerpOrg:P,PerpOrg:R,PerpOrg:F1,Target:P,Target:R,Target:F1,Victim:P,Victim:R,Victim:F1,Weapon:P,Weapon:R,Weapon:F1,mAvg:P,mAvg:R,mAvg:F1
PB-BERT-medium,75,82.17,52.74,64.24,57.53,24.56,34.43,47.69,24.60,32.46,40.91,24.49,30.64,59.18,29.00,38.93,65.12,41.79,50.91,60.85,33.50,43.21
PB-BERT-medium,77,88.89,51.74,65.41,65.22,25.73,36.90,55.93,26.19,35.68,40.00,24.49,30.38,72.55,37.00,49.01,67.57,37.31,48.08,66.19,34.36,45.24
PB-BERT-medium,71,83.33,52.24,64.22,58.46,22.22,32.20,45.76,21.43,29.19,39.56,24.49,30.25,61.67,37.00,46.25,55.81,35.82,43.64,60.14,32.88,42.52
PB-BERT-medium,99,86.55,51.24,64.38,61.29,22.22,32.62,49.06,20.63,29.05,44.58,25.17,32.17,70.37,38.00,49.35,60.00,40.30,48.21,64.66,33.13,43.81
PB-BERT-medium,73,83.20,51.74,63.80,56.72,22.22,31.93,46.67,22.22,30.11,36.47,21.09,26.72,64.15,34.00,44.44,50.00,32.84,39.64,59.22,31.65,41.25
PB-BERT-medium,95,84.25,53.23,65.24,57.58,22.22,32.07,50.91,22.22,30.94,48.84,28.57,36.05,69.81,37.00,48.37,57.78,38.81,46.43,64.35,34.24,44.69
PB-BERT-medium,97,85.83,51.24,64.17,62.30,22.22,32.76,50.00,20.63,29.21,45.88,26.53,33.62,71.70,38.00,49.67,60.00,40.30,48.21,65.14,33.37,44.14
PB-BERT-medium,91,88.24,52.24,65.62,61.02,21.05,31.30,53.85,22.22,31.46,46.99,26.53,33.91,76.47,39.00,51.66,60.87,41.79,49.56,67.07,33.87,45.01
PB-BERT-medium,93,86.89,52.74,65.63,63.08,23.98,34.75,55.77,23.02,32.58,47.62,27.21,34.63,67.27,37.00,47.74,53.06,38.81,44.83,65.34,34.36,45.04
PB-BERT-medium,79,85.04,53.73,65.85,55.26,24.56,34.01,54.10,26.19,35.29,40.45,25.17,31.03,68.97,40.00,50.63,63.04,43.28,51.33,63.02,35.59,45.49
PB-BERT-medium,16,88.24,52.24,65.62,51.09,27.49,35.74,31.58,19.05,23.76,16.67,10.20,12.66,27.27,3.00,5.41,0.00,0.00,0.00,50.00,23.89,32.33
PB-BERT-medium,63,85.38,55.22,67.07,55.29,27.49,36.72,48.57,26.98,34.69,43.14,29.93,35.34,52.17,36.00,42.60,51.22,31.34,38.89,58.95,36.08,44.77
PB-BERT-medium,89,90.00,53.73,67.29,61.90,22.81,33.33,58.49,24.60,34.64,47.83,30.61,37.33,63.83,30.00,40.82,55.56,37.31,44.64,65.95,34.24,45.07
PB-BERT-medium,14,93.67,36.82,52.86,48.33,16.96,25.11,28.57,14.29,19.05,17.65,10.20,12.93,18.75,3.00,5.17,0.00,0.00,0.00,45.72,17.12,24.91
PB-BERT-medium,61,83.82,56.72,67.66,56.10,26.90,36.36,52.17,28.57,36.92,37.61,27.89,32.03,54.39,31.00,39.49,49.09,40.30,44.26,58.07,36.33,44.70
PB-BERT-medium,12,92.86,38.81,54.74,48.21,15.79,23.79,32.39,18.25,23.35,14.77,8.84,11.06,21.88,7.00,10.61,33.33,1.49,2.86,44.61,18.35,26.00
PB-BERT-medium,67,87.29,51.24,64.58,61.29,22.22,32.62,49.21,24.60,32.80,49.30,23.81,32.11,65.00,39.00,48.75,54.35,37.31,44.25,64.52,33.37,43.99
PB-BERT-medium,10,96.20,37.81,54.29,43.86,14.62,21.93,14.29,7.94,10.20,18.18,9.52,12.50,10.00,1.00,1.82,0.00,0.00,0.00,42.57,15.52,22.74
PB-BERT-medium,65,87.18,50.75,64.15,60.26,27.49,37.75,46.15,23.81,31.41,40.74,22.45,28.95,51.39,37.00,43.02,50.00,35.82,41.74,59.22,33.62,42.89
PB-BERT-medium,69,85.47,49.75,62.89,58.93,19.30,29.07,48.15,20.63,28.89,38.96,20.41,26.79,70.21,33.00,44.90,55.00,32.84,41.12,62.40,30.05,40.57
PB-BERT-medium,83,88.79,51.24,64.98,65.57,23.39,34.48,53.85,22.22,31.46,40.70,24.49,30.58,69.39,34.00,45.64,59.52,37.31,45.87,65.27,32.76,43.62
PB-BERT-medium,81,88.89,51.74,65.41,64.06,23.98,34.89,55.93,26.19,35.68,47.67,28.57,35.73,66.67,32.00,43.24,56.52,40.30,47.05,65.95,34.36,45.18
PB-BERT-medium,18,87.29,51.24,64.58,47.06,23.39,31.25,31.03,21.43,25.35,19.20,17.01,18.04,23.08,9.00,12.95,66.67,5.97,10.96,45.00,25.62,32.65
PB-BERT-medium,87,88.89,51.74,65.41,65.57,23.39,34.48,50.00,22.22,30.77,46.24,29.93,36.34,75.93,41.00,53.25,55.32,38.81,45.61,65.89,34.85,45.59
PB-BERT-medium,85,85.16,54.23,66.26,57.58,22.22,32.07,57.41,24.60,34.44,48.91,31.29,38.17,67.27,37.00,47.74,52.08,37.31,43.48,64.33,35.22,45.52
PB-BERT-medium,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PB-BERT-medium,59,84.80,52.74,65.03,56.25,26.32,35.86,42.25,23.81,30.46,41.30,25.85,31.80,52.17,36.00,42.60,62.50,29.85,40.40,58.64,33.87,42.94
PB-BERT-medium,2,100.00,5.47,10.38,40.00,3.51,6.45,10.00,0.79,1.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.37,2.22,4.24
PB-BERT-medium,4,76.92,9.95,17.62,22.58,4.09,6.93,15.00,2.38,4.11,7.14,0.68,1.24,0.00,0.00,0.00,0.00,0.00,0.00,32.98,3.82,6.84
PB-BERT-medium,6,95.65,10.95,19.64,48.00,7.02,12.24,10.71,2.38,3.90,10.00,1.36,2.40,25.00,1.00,1.92,0.00,0.00,0.00,40.00,4.93,8.77
PB-BERT-medium,28,88.18,48.26,62.38,48.81,23.39,31.63,30.12,19.84,23.92,44.44,10.20,16.60,58.49,31.00,40.52,52.38,16.42,25.00,57.11,26.97,36.64
PB-BERT-medium,24,82.57,44.78,58.06,53.09,25.15,34.13,24.66,14.29,18.09,22.11,14.29,17.36,28.57,10.00,14.81,55.56,14.93,23.53,46.72,23.65,31.40
PB-BERT-medium,51,85.48,52.74,65.23,60.56,25.15,35.54,54.35,19.84,29.07,30.56,23.13,26.33,28.57,6.00,9.92,66.67,29.85,41.24,58.25,28.82,38.56
PB-BERT-medium,26,89.72,47.76,62.34,50.00,25.15,33.46,22.34,16.67,19.09,20.75,14.29,16.92,26.09,12.00,16.44,42.86,8.96,14.81,44.15,24.51,31.52
PB-BERT-medium,53,85.37,52.24,64.81,51.19,25.15,33.73,55.56,23.81,33.33,27.35,22.45,24.66,45.45,15.00,22.56,61.11,32.84,42.72,55.26,30.54,39.34
PB-BERT-medium,8,96.70,43.78,60.27,40.96,19.88,26.77,9.09,7.14,8.00,13.33,2.72,4.52,0.00,0.00,0.00,0.00,0.00,0.00,44.55,16.63,24.22
PB-BERT-medium,20,92.22,41.29,57.04,57.35,22.81,32.64,33.33,15.87,21.51,25.00,13.61,17.62,36.00,18.00,24.00,21.43,4.48,7.41,50.55,22.54,31.18
PB-BERT-medium,55,88.70,50.75,64.56,62.32,25.15,35.83,50.94,21.43,30.17,39.74,21.77,28.13,65.62,42.00,51.22,69.70,34.33,46.00,65.05,33.13,43.90
PB-BERT-medium,22,90.29,46.27,61.18,56.47,28.07,37.50,32.84,17.46,22.80,22.47,13.61,16.95,26.09,6.00,9.76,66.67,5.97,10.96,51.74,23.77,32.57
PB-BERT-medium,57,87.50,52.24,65.42,60.53,26.90,37.25,55.17,25.40,34.78,43.37,24.49,31.30,52.63,30.00,38.22,58.33,31.34,40.78,62.79,33.25,43.48
PB-BERT-medium,38,89.83,52.74,66.46,59.04,28.65,38.58,36.59,23.81,28.85,33.68,22.45,26.94,41.07,23.00,29.49,58.82,14.93,23.81,55.43,30.91,39.69
PB-BERT-medium,49,80.80,50.25,61.96,54.84,19.88,29.18,31.15,15.08,20.32,22.58,14.29,17.50,32.14,9.00,14.06,75.00,22.39,34.48,51.16,24.51,33.14
PB-BERT-medium,47,87.20,54.23,66.87,56.41,25.73,35.34,38.46,23.81,29.41,29.33,14.97,19.82,51.72,30.00,37.97,63.33,28.36,39.18,57.21,31.28,40.45
PB-BERT-medium,32,88.98,52.24,65.83,54.32,25.73,34.92,34.83,24.60,28.84,33.33,22.45,26.83,52.05,38.00,43.93,47.62,29.85,36.70,53.98,33.37,41.25
PB-BERT-medium,45,86.07,52.24,65.02,57.33,25.15,34.96,46.25,29.37,35.92,40.00,22.45,28.76,47.95,35.00,40.46,68.57,35.82,47.06,59.35,34.11,43.33
PB-BERT-medium,30,94.06,47.26,62.91,61.90,22.22,32.70,39.66,18.25,25.00,32.35,14.29,19.82,57.45,27.00,36.73,61.54,35.82,45.28,61.17,28.08,38.49
PB-BERT-medium,43,86.47,57.21,68.86,50.62,23.98,32.54,53.97,26.98,35.98,43.16,27.89,33.88,49.18,30.00,37.27,58.82,29.85,39.60,60.17,34.61,43.94
PB-BERT-medium,36,87.91,39.80,54.79,55.17,18.71,27.95,28.36,15.08,19.69,34.62,19.05,24.57,57.14,20.00,29.63,64.29,13.43,22.22,54.52,23.15,32.50
PB-BERT-medium,41,90.20,45.77,60.73,49.37,22.81,31.20,48.08,19.84,28.09,36.05,21.09,26.61,50.00,20.00,28.57,60.00,22.39,32.61,57.81,27.34,37.12
PB-BERT-medium,34,85.00,50.75,63.55,50.00,25.73,33.98,38.16,23.02,28.71,28.18,21.09,24.12,21.95,9.00,12.77,59.09,19.40,29.21,49.89,28.08,35.93
PB-BERT-medium,5,89.58,21.39,34.54,31.11,8.19,12.96,18.60,6.35,9.47,14.81,2.72,4.60,0.00,0.00,0.00,25.00,1.49,2.82,39.77,8.62,14.17
PB-BERT-medium,29,85.71,47.76,61.34,46.43,22.81,30.59,30.43,16.67,21.54,31.58,16.33,21.52,43.90,18.00,25.53,58.82,14.93,23.81,52.13,25.62,34.35
PB-BERT-medium,7,93.62,21.89,35.48,50.00,12.87,20.47,30.00,11.90,17.05,20.37,7.48,10.95,9.68,3.00,4.58,12.50,1.49,2.67,41.03,11.82,18.36
PB-BERT-medium,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PB-BERT-medium,3,92.50,18.41,30.71,36.36,9.36,14.88,13.33,4.76,7.02,13.89,3.40,5.46,53.33,8.00,13.91,0.00,0.00,0.00,38.92,8.87,14.44
PB-BERT-medium,58,84.62,49.25,62.26,57.14,23.39,33.20,51.92,21.43,30.34,37.36,23.13,28.57,55.10,27.00,36.24,54.76,34.33,42.20,59.38,30.79,40.55
PB-BERT-medium,54,89.92,57.71,70.30,54.95,29.24,38.17,44.29,24.60,31.63,28.12,24.49,26.18,29.27,12.00,17.02,75.00,4.48,8.45,53.56,30.54,38.90
PB-BERT-medium,21,97.33,36.32,52.90,43.94,16.96,24.47,41.86,14.29,21.30,7.35,3.40,4.65,36.36,16.00,22.22,40.00,2.99,5.56,47.51,17.61,25.70
PB-BERT-medium,56,86.05,55.22,67.27,59.78,32.16,41.83,56.67,26.98,36.56,36.90,21.77,27.38,65.00,39.00,48.75,64.29,26.87,37.89,63.58,35.59,45.63
PB-BERT-medium,23,90.18,50.25,64.54,52.75,28.07,36.64,25.77,19.84,22.42,16.49,10.88,13.11,19.44,7.00,10.29,25.00,1.49,2.82,45.31,24.38,31.71
PB-BERT-medium,50,80.95,50.75,62.39,55.00,25.15,34.51,45.07,25.40,32.49,31.00,21.09,25.10,42.86,21.00,28.19,61.29,28.36,38.78,54.49,30.54,39.14
PB-BERT-medium,25,91.89,33.83,49.45,48.48,18.71,27.00,37.70,18.25,24.60,24.24,10.88,15.02,31.25,15.00,20.27,36.36,11.94,17.98,48.07,19.95,28.20
PB-BERT-medium,9,95.06,38.31,54.61,45.00,15.79,23.38,21.69,14.29,17.22,20.99,11.56,14.91,19.15,9.00,12.24,15.79,4.48,6.98,40.70,18.60,25.53
PB-BERT-medium,52,88.50,49.75,63.69,52.86,21.64,30.71,43.10,19.84,27.17,30.77,19.05,23.53,50.00,19.00,27.54,80.77,31.34,45.16,58.08,28.33,38.08
PB-BERT-medium,27,87.01,33.33,48.20,56.67,18.71,28.14,23.61,13.49,17.17,19.32,12.24,14.99,30.77,4.00,7.08,100.00,4.48,8.57,45.37,17.36,25.12
PB-BERT-medium,48,82.44,53.73,65.06,54.88,26.32,35.57,49.28,26.98,34.87,38.46,24.49,29.93,54.72,29.00,37.91,70.37,28.36,40.43,59.60,33.37,42.79
PB-BERT-medium,39,85.05,45.27,59.09,47.78,25.15,32.95,43.33,20.63,27.96,27.78,19.73,23.07,33.33,18.00,23.38,63.64,10.45,17.95,50.00,26.35,34.52
PB-BERT-medium,37,84.87,50.25,63.12,44.94,23.39,30.77,30.34,21.43,25.12,28.43,19.05,22.81,34.62,18.00,23.68,68.42,19.40,30.23,48.51,27.96,35.47
PB-BERT-medium,42,82.61,47.26,60.13,50.00,20.47,29.05,47.92,18.25,26.44,39.36,25.17,30.71,57.41,31.00,40.26,66.67,38.81,49.06,58.81,30.42,40.10
PB-BERT-medium,35,85.96,48.76,62.22,51.76,25.15,33.85,34.44,24.60,28.70,27.18,19.73,22.86,31.58,12.00,17.39,38.89,10.45,16.47,49.11,27.09,34.92
PB-BERT-medium,40,83.33,49.75,62.31,61.43,25.15,35.68,44.83,20.63,28.26,35.80,19.73,25.44,57.50,23.00,32.86,65.38,25.37,36.56,60.25,29.31,39.44
PB-BERT-medium,33,89.43,54.73,67.90,56.84,31.58,40.60,41.25,26.19,32.04,35.14,17.69,23.53,33.33,13.00,18.71,75.00,13.43,22.78,57.92,30.17,39.68
PB-BERT-medium,46,85.95,51.74,64.60,56.52,22.81,32.50,51.72,23.81,32.61,40.58,19.05,25.93,70.00,28.00,40.00,67.50,40.30,50.47,64.48,31.53,42.35
PB-BERT-medium,31,83.19,46.77,59.87,47.19,24.56,32.31,52.83,22.22,31.28,28.57,19.05,22.86,20.00,7.00,10.37,60.00,4.48,8.33,51.40,24.88,33.53
PB-BERT-medium,44,91.80,55.72,69.35,53.61,30.41,38.81,38.54,29.37,33.33,28.07,20.41,23.63,32.84,22.00,26.35,44.00,16.42,23.91,51.06,32.51,39.73
PB-BERT-medium,70,88.50,49.75,63.69,57.14,23.39,33.20,48.28,22.22,30.43,37.78,23.13,28.69,57.38,35.00,43.48,60.98,37.31,46.30,60.51,32.27,42.09
PB-BERT-medium,72,85.71,50.75,63.75,60.94,22.81,33.19,45.31,23.02,30.53,38.75,21.09,27.31,66.67,30.00,41.38,55.56,37.31,44.64,61.39,31.53,41.66
PB-BERT-medium,98,86.55,51.24,64.38,61.29,22.22,32.62,50.00,20.63,29.21,44.58,25.17,32.17,69.09,38.00,49.03,60.00,40.30,48.21,64.66,33.13,43.81
PB-BERT-medium,74,86.55,51.24,64.38,54.43,24.56,33.85,52.73,23.02,32.04,44.87,24.49,31.69,58.00,29.00,38.67,58.97,34.33,43.40,62.38,32.27,42.53
PB-BERT-medium,76,87.39,51.74,65.00,56.52,22.81,32.50,60.00,23.81,34.09,50.63,27.89,35.97,54.10,33.00,40.99,57.45,40.30,47.37,64.24,33.74,44.25
PB-BERT-medium,90,87.39,51.74,65.00,58.21,22.81,32.77,57.14,22.22,32.00,49.41,28.57,36.21,75.00,39.00,51.32,59.09,38.81,46.85,66.83,34.24,45.28
PB-BERT-medium,78,87.70,53.23,66.25,61.11,25.15,35.63,58.18,25.40,35.36,42.70,26.53,32.73,64.58,31.00,41.89,54.90,41.79,47.46,64.07,34.48,44.84
PB-BERT-medium,92,87.50,52.24,65.42,62.90,22.81,33.48,54.72,23.02,32.40,48.78,27.21,34.93,75.00,39.00,51.32,57.14,41.79,48.28,66.99,34.48,45.53
PB-BERT-medium,94,86.55,51.24,64.38,59.02,21.05,31.03,49.02,19.84,28.25,46.43,26.53,33.77,67.27,37.00,47.74,56.25,40.30,46.96,63.88,32.88,43.41
PB-BERT-medium,96,86.55,51.24,64.38,57.81,21.64,31.49,51.85,22.22,31.11,47.06,27.21,34.48,67.86,38.00,48.72,63.04,43.28,51.33,64.86,33.87,44.50
PB-BERT-medium,66,89.66,51.74,65.62,57.75,23.98,33.88,50.00,23.81,32.26,41.30,25.85,31.80,60.00,30.00,40.00,57.45,40.30,47.37,61.93,33.25,43.27
PB-BERT-medium,13,57.23,47.26,51.77,32.98,18.13,23.40,10.68,8.73,9.61,9.80,3.40,5.05,0.00,0.00,0.00,0.00,0.00,0.00,33.89,17.49,23.07
PB-BERT-medium,64,79.26,53.23,63.69,55.88,22.22,31.80,45.31,23.02,30.53,40.70,24.49,30.58,63.04,29.00,39.73,70.37,28.36,40.43,60.33,31.77,41.62
PB-BERT-medium,11,90.28,32.34,47.62,39.62,12.28,18.75,33.33,13.49,19.21,21.05,8.84,12.46,13.33,4.00,6.15,40.00,8.96,14.63,44.96,15.52,23.07
PB-BERT-medium,88,88.33,52.74,66.04,61.54,23.39,33.90,54.55,23.81,33.15,47.83,29.93,36.82,62.79,27.00,37.76,58.70,40.30,47.79,65.08,33.74,44.44
PB-BERT-medium,62,87.18,50.75,64.15,61.64,26.32,36.89,45.00,21.43,29.03,47.67,28.57,35.73,52.83,28.00,36.60,57.58,28.36,38.00,62.09,32.39,42.57
PB-BERT-medium,17,83.51,40.30,54.36,39.33,20.47,26.92,22.22,15.87,18.52,14.74,9.52,11.57,9.09,1.00,1.80,0.00,0.00,0.00,39.53,18.60,25.29
PB-BERT-medium,60,92.37,54.23,68.34,64.06,23.98,34.89,53.70,23.02,32.22,35.04,27.89,31.06,53.45,31.00,39.24,55.00,32.84,41.12,60.53,33.62,43.23
PB-BERT-medium,15,87.64,38.81,53.79,34.25,14.62,20.49,28.38,16.67,21.00,18.63,13.61,15.73,16.28,7.00,9.79,37.50,4.48,8.00,39.33,18.97,25.59
PB-BERT-medium,86,86.18,52.74,65.43,62.90,22.81,33.48,55.56,23.81,33.33,54.12,31.97,40.20,69.64,39.00,50.00,60.53,34.33,43.81,67.70,34.98,46.12
PB-BERT-medium,19,86.36,37.81,52.60,38.36,16.37,22.95,17.91,9.52,12.44,9.38,3.40,4.99,6.67,1.00,1.74,0.00,0.00,0.00,40.07,15.02,21.85
PB-BERT-medium,84,90.68,53.23,67.08,64.06,23.98,34.89,60.78,24.60,35.03,49.46,31.97,38.84,65.52,38.00,48.10,53.33,35.82,42.86,66.90,35.47,46.36
PB-BERT-medium,82,89.17,53.23,66.67,62.12,23.98,34.60,52.31,26.98,35.60,44.83,27.21,33.87,67.39,31.00,42.47,56.25,41.79,47.95,64.58,34.61,45.06
PB-BERT-medium,68,82.24,62.19,70.82,54.55,24.56,33.87,57.97,31.75,41.03,34.74,22.45,27.27,56.14,32.00,40.76,54.76,34.33,42.20,59.96,36.33,45.25
PB-BERT-medium,80,85.04,53.73,65.85,61.11,25.73,36.21,55.93,26.19,35.68,44.44,27.89,34.27,65.31,32.00,42.95,53.19,37.31,43.86,63.51,34.85,45.01
BERT-Base,116,80.95,50.75,62.39,54.84,19.88,29.18,50.00,22.22,30.77,42.50,23.13,29.96,69.23,36.00,47.37,59.65,52.24,55.70,61.89,33.13,43.16
BERT-Base,58,92.63,43.78,59.46,66.67,23.39,34.63,60.00,19.05,28.92,43.24,21.77,28.96,53.85,28.00,36.84,70.00,41.79,52.34,66.48,29.56,40.92
BERT-Base,3,81.82,4.48,8.49,33.33,0.58,1.15,33.33,1.59,3.03,20.00,0.68,1.32,25.00,1.00,1.92,0.00,0.00,0.00,48.28,1.72,3.33
BERT-Base,114,80.17,46.27,58.68,53.97,19.88,29.06,49.02,19.84,28.25,37.66,19.73,25.89,66.67,34.00,45.03,59.26,49.25,53.80,59.95,30.54,40.47
BERT-Base,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BERT-Base,29,90.22,41.29,56.66,60.66,21.64,31.90,37.25,15.08,21.47,20.65,13.61,16.40,26.32,10.00,14.49,81.82,13.43,23.08,51.30,21.92,30.72
BERT-Base,7,93.33,6.97,12.96,45.45,2.92,5.49,18.18,1.59,2.92,33.33,2.72,5.03,45.45,5.00,9.01,83.33,7.46,13.70,53.03,4.31,7.97
BERT-Base,112,81.74,46.77,59.49,55.00,19.30,28.57,51.02,19.84,28.57,42.17,23.81,30.43,68.52,37.00,48.05,59.18,44.78,50.98,61.71,31.28,41.52
BERT-Base,5,100.00,8.96,16.44,66.67,3.51,6.67,25.00,2.38,4.35,26.67,2.72,4.94,53.33,8.00,13.91,36.36,5.97,10.26,53.75,5.30,9.64
BERT-Base,110,82.61,47.26,60.13,57.38,20.47,30.17,53.33,19.05,28.07,45.24,25.85,32.90,65.52,38.00,48.10,61.22,46.27,52.71,63.11,32.14,42.59
BERT-Base,9,90.54,33.33,48.73,47.17,14.62,22.32,26.00,10.32,14.77,30.43,8.84,13.70,40.74,22.00,28.57,47.37,13.43,20.93,50.68,18.35,26.94
BERT-Base,27,94.12,31.84,47.58,50.00,13.45,21.20,33.33,8.73,13.84,25.93,8.84,13.19,31.25,10.00,15.15,58.82,14.93,23.81,52.80,16.13,24.71
BERT-Base,52,85.25,51.74,64.40,51.65,27.49,35.88,47.22,26.98,34.34,42.70,26.53,32.73,52.86,37.00,43.53,53.85,41.79,47.06,58.06,35.59,44.13
BERT-Base,25,89.80,43.78,58.86,50.00,23.39,31.87,34.72,19.84,25.25,33.70,21.77,26.45,51.85,28.00,36.36,41.67,14.93,21.98,52.86,27.46,36.15
BERT-Base,50,88.30,41.29,56.27,50.82,18.13,26.72,39.39,20.63,27.08,36.36,22.45,27.76,60.78,31.00,41.06,44.68,31.34,36.84,55.04,27.71,36.86
BERT-Base,23,85.57,41.29,55.70,49.45,26.32,34.35,64.10,19.84,30.30,38.71,24.49,30.00,40.54,15.00,21.90,70.59,17.91,28.57,57.75,26.60,36.42
BERT-Base,56,84.43,51.24,63.78,57.14,21.05,30.77,42.11,19.05,26.23,42.55,27.89,33.70,57.35,39.00,46.43,51.72,44.78,48.00,58.87,33.62,42.80
BERT-Base,118,80.77,52.24,63.44,53.97,19.88,29.06,51.85,22.22,31.11,38.55,21.77,27.83,69.09,38.00,49.03,58.62,52.24,55.25,61.17,33.50,43.29
BERT-Base,21,86.11,46.27,60.19,54.84,29.82,38.64,52.38,26.19,34.92,33.68,21.09,25.94,53.12,34.00,41.46,41.82,34.33,37.70,55.65,32.64,41.14
