model,epoch,type:P,type:R,type:F1,PerpInd:P,PerpInd:R,PerpInd:F1,PerpOrg:P,PerpOrg:R,PerpOrg:F1,Target:P,Target:R,Target:F1,Victim:P,Victim:R,Victim:F1,Weapon:P,Weapon:R,Weapon:F1,mAvg:P,mAvg:R,mAvg:F1
BERT-Base,54,84.25,53.23,65.24,64.20,30.41,41.27,48.08,19.84,28.09,39.81,27.89,32.80,53.03,35.00,42.17,55.10,41.79,47.53,60.04,35.47,44.59
BERT-Base,100,79.49,46.27,58.49,53.85,16.37,25.11,47.37,21.43,29.51,37.80,21.09,27.07,71.15,37.00,48.68,55.56,46.27,50.49,59.42,30.42,40.24
BERT-Base,39,82.31,53.23,64.65,48.19,23.39,31.50,41.79,22.22,29.02,36.36,23.81,28.78,46.58,34.00,39.31,56.86,43.28,49.15,54.47,33.62,41.58
BERT-Base,102,79.83,47.26,59.38,51.52,19.88,28.69,40.00,20.63,27.23,36.71,19.73,25.66,64.71,33.00,43.71,60.38,49.25,54.25,57.51,30.79,40.10
BERT-Base,104,79.51,48.26,60.06,52.94,21.05,30.13,42.19,21.43,28.42,34.15,19.05,24.45,59.65,34.00,43.31,58.49,47.76,52.58,56.73,31.28,40.33
BERT-Base,106,82.35,48.76,61.25,52.78,22.22,31.28,49.12,22.22,30.60,38.71,24.49,30.00,62.07,36.00,45.57,66.67,49.25,56.65,59.96,33.13,42.68
BERT-Base,48,78.10,53.23,63.31,51.14,26.32,34.75,38.96,23.81,29.56,41.46,23.13,29.69,61.82,34.00,43.87,46.30,37.31,41.32,55.78,33.87,42.15
BERT-Base,44,78.74,49.75,60.98,49.30,20.47,28.93,32.93,21.43,25.96,26.19,14.97,19.05,50.91,28.00,36.13,73.08,28.36,40.86,51.91,28.45,36.75
BERT-Base,31,88.24,44.78,59.41,55.00,19.30,28.57,45.10,18.25,25.99,40.51,21.77,28.32,65.52,38.00,48.10,47.62,44.78,46.15,59.56,30.30,40.16
BERT-Base,46,81.54,52.74,64.05,47.62,29.24,36.23,53.57,23.81,32.97,43.40,31.29,36.36,50.72,35.00,41.42,52.31,50.75,51.52,56.69,37.07,44.83
BERT-Base,33,87.50,24.38,38.13,39.22,11.70,18.02,32.00,11.90,17.35,32.00,10.88,16.24,50.00,18.00,26.47,66.67,20.90,31.82,50.38,16.26,24.58
BERT-Base,108,79.34,47.76,59.63,47.14,19.30,27.39,46.03,23.02,30.69,37.80,21.09,27.07,62.90,39.00,48.15,58.18,49.25,53.35,57.40,32.14,41.21
BERT-Base,40,86.96,39.80,54.61,64.41,22.22,33.04,54.35,19.84,29.07,40.28,19.73,26.48,56.86,29.00,38.41,60.00,37.31,46.01,62.50,27.83,38.51
BERT-Base,35,89.00,44.28,59.14,56.92,21.64,31.36,52.08,19.84,28.74,38.24,17.69,24.19,56.25,36.00,43.90,67.44,43.28,52.73,62.37,29.80,40.33
BERT-Base,42,79.59,58.21,67.24,61.82,19.88,30.09,45.07,25.40,32.49,49.41,29.25,36.75,63.89,46.00,53.49,52.00,40.30,45.41,61.88,36.82,46.17
BERT-Base,37,86.81,39.30,54.11,57.75,23.98,33.88,48.15,20.63,28.89,40.32,17.01,23.92,55.93,33.00,41.51,59.09,40.30,47.92,60.37,28.45,38.67
BERT-Base,76,82.86,43.28,56.86,57.58,22.22,32.07,54.76,18.25,27.38,44.87,23.81,31.11,53.85,28.00,36.84,53.19,38.81,44.87,60.51,29.19,39.38
BERT-Base,74,75.54,52.24,61.76,50.60,24.56,33.07,45.61,20.63,28.42,40.48,23.13,29.44,43.66,31.00,36.26,57.14,49.25,52.91,55.10,33.37,41.57
BERT-Base,98,82.61,47.26,60.13,59.38,22.22,32.34,41.54,21.43,28.27,34.88,20.41,25.75,66.00,33.00,44.00,59.26,49.25,53.80,58.76,31.53,41.04
BERT-Base,72,77.52,49.75,60.61,43.37,21.05,28.35,41.10,23.81,30.15,38.61,26.53,31.45,44.26,27.00,33.54,56.36,46.27,50.82,52.39,32.39,40.03
BERT-Base,70,77.27,50.75,61.26,45.16,24.56,31.82,32.94,22.22,26.54,41.11,25.17,31.22,45.95,34.00,39.08,56.36,47.76,51.71,51.80,33.87,40.96
BERT-Base,96,84.68,46.77,60.26,55.71,22.81,32.37,50.00,21.43,30.00,38.16,19.73,26.01,72.22,39.00,50.65,60.78,47.76,53.49,62.26,32.02,42.29
BERT-Base,94,80.00,49.75,61.35,54.79,23.39,32.79,50.00,23.02,31.52,36.05,20.41,26.06,61.82,34.00,43.87,50.91,43.28,46.79,57.96,32.27,41.46
BERT-Base,92,79.39,51.74,62.65,50.63,23.39,32.00,48.44,24.60,32.63,34.91,25.85,29.70,60.00,36.00,45.00,47.62,46.27,46.93,55.27,34.48,42.47
BERT-Base,78,78.46,50.75,61.63,53.33,23.39,32.52,42.31,26.19,32.35,41.76,25.85,31.93,58.33,35.00,43.75,57.41,47.76,52.14,57.17,34.48,43.02
BERT-Base,90,78.26,53.73,63.72,51.58,28.65,36.84,43.33,30.95,36.11,39.62,29.25,33.66,54.84,34.00,41.98,45.59,47.76,46.65,54.20,37.56,44.37
BERT-Base,15,87.72,24.88,38.76,40.43,11.11,17.43,26.19,8.73,13.10,26.83,6.80,10.85,56.41,22.00,31.65,39.13,13.43,20.00,49.00,14.90,22.85
BERT-Base,60,80.00,53.73,64.29,55.91,30.41,39.39,40.35,18.25,25.14,35.96,21.77,27.12,55.71,39.00,45.88,54.55,46.27,50.07,56.91,35.10,43.42
BERT-Base,17,89.33,33.33,48.55,50.00,16.37,24.67,52.27,18.25,27.06,25.00,10.20,14.49,48.00,24.00,32.00,50.00,16.42,24.72,54.69,20.69,30.02
BERT-Base,62,84.68,52.24,64.62,54.32,25.73,34.92,49.21,24.60,32.80,35.29,20.41,25.86,55.88,38.00,45.24,53.70,44.78,48.84,58.32,34.24,43.14
BERT-Base,88,82.44,53.73,65.06,51.28,23.39,32.13,47.54,23.02,31.02,39.53,23.81,29.72,48.57,34.00,40.00,52.73,44.78,48.43,56.96,33.99,42.58
BERT-Base,11,84.62,16.42,27.50,53.33,9.36,15.92,47.06,6.35,11.19,48.15,8.16,13.96,51.43,18.00,26.67,40.00,5.97,10.39,58.23,11.21,18.80
BERT-Base,64,78.57,49.25,60.55,50.00,28.65,36.43,40.00,20.63,27.23,45.68,25.17,32.46,51.79,29.00,37.18,46.77,44.78,45.75,55.12,33.25,41.48
BERT-Base,13,90.38,23.38,37.15,36.00,10.53,16.29,30.00,9.52,14.46,42.42,8.84,14.64,64.71,22.00,32.84,53.33,11.94,19.51,54.02,14.78,23.21
BERT-Base,66,83.87,51.74,64.00,48.35,25.73,33.59,46.67,22.22,30.11,40.66,24.49,30.57,54.24,32.00,40.25,58.00,44.78,50.54,57.68,33.74,42.58
BERT-Base,80,81.06,53.23,64.26,54.76,26.90,36.08,45.90,22.22,29.95,29.52,21.09,24.60,43.55,27.00,33.33,58.18,47.76,52.46,54.31,33.37,41.34
BERT-Base,68,85.48,52.74,65.23,52.44,25.15,33.99,49.30,27.78,35.53,35.59,29.25,32.11,44.16,34.00,38.42,55.77,43.28,48.74,55.15,35.71,43.35
BERT-Base,82,81.51,48.26,60.63,56.96,26.32,36.00,42.86,21.43,28.57,34.09,20.41,25.53,50.00,30.00,37.50,53.03,53.73,53.38,55.58,32.64,41.12
BERT-Base,84,81.40,52.24,63.64,54.64,30.99,39.55,47.95,27.78,35.18,36.47,21.09,26.72,56.72,38.00,45.51,55.36,47.76,51.28,57.79,36.21,44.52
BERT-Base,19,87.01,33.33,48.20,39.06,14.62,21.28,45.65,16.67,24.42,30.65,12.93,18.18,58.49,31.00,40.52,68.18,22.39,33.71,54.94,21.92,31.34
BERT-Base,86,79.03,48.76,60.31,48.65,21.05,29.39,46.43,20.63,28.57,35.23,21.09,26.38,67.35,33.00,44.30,59.65,52.24,55.70,57.59,31.90,41.05
BERT-Base,73,73.53,49.75,59.35,44.44,23.39,30.65,48.28,22.22,30.43,38.82,22.45,28.45,51.67,31.00,38.75,48.28,43.28,45.64,53.39,32.14,40.13
BERT-Base,99,80.51,47.26,59.56,52.94,21.05,30.13,48.33,23.02,31.18,36.36,19.05,25.00,64.52,40.00,49.38,57.41,47.76,52.14,59.00,32.02,41.51
BERT-Base,71,81.89,51.74,63.41,45.05,23.98,31.30,39.44,22.22,28.43,40.21,26.53,31.97,44.58,37.00,40.44,58.82,44.78,50.85,53.65,34.36,41.89
BERT-Base,77,83.06,51.24,63.38,49.33,21.64,30.08,48.15,20.63,28.89,45.05,27.89,34.45,46.97,31.00,37.35,51.67,46.27,48.82,57.23,33.13,41.97
BERT-Base,75,79.07,50.75,61.82,53.49,26.90,35.80,43.33,20.63,27.96,40.22,25.17,30.96,59.62,31.00,40.79,55.56,44.78,49.59,57.51,33.50,42.33
BERT-Base,79,83.78,46.27,59.62,57.81,21.64,31.49,43.55,21.43,28.72,42.35,25.17,31.58,57.78,26.00,35.86,53.85,41.79,47.06,58.95,30.54,40.24
BERT-Base,93,79.69,50.75,62.01,53.42,22.81,31.97,51.85,22.22,31.11,36.36,21.77,27.23,61.40,35.00,44.59,50.91,43.28,46.79,58.02,32.64,41.77
BERT-Base,91,79.69,50.75,62.01,52.78,22.22,31.28,43.06,24.60,31.31,33.02,24.49,28.12,64.81,35.00,45.45,55.74,52.24,53.93,55.78,34.11,42.34
BERT-Base,97,83.19,46.77,59.87,55.22,21.64,31.09,52.83,22.22,31.28,34.83,21.09,26.27,56.45,35.00,43.21,62.96,50.75,56.20,59.13,31.90,41.44
BERT-Base,95,78.15,46.27,58.12,54.29,22.22,31.54,49.09,21.43,29.83,32.97,20.41,25.21,62.00,31.00,41.33,62.50,44.78,52.17,57.51,30.67,40.00
BERT-Base,65,78.08,56.72,65.71,48.08,29.24,36.36,40.26,24.60,30.54,46.25,25.17,32.60,43.42,33.00,37.50,49.21,47.76,48.47,54.21,36.58,43.68
BERT-Base,10,88.89,15.92,27.00,45.16,7.60,13.01,47.06,6.35,11.19,42.86,4.76,8.57,65.38,17.00,26.98,54.55,8.96,15.38,60.56,10.22,17.49
BERT-Base,67,78.42,54.23,64.12,48.89,25.73,33.72,52.31,26.98,35.60,38.95,25.17,30.58,54.17,39.00,45.35,60.00,50.75,54.99,57.36,36.58,44.67
BERT-Base,12,94.03,31.34,47.01,57.45,15.79,24.77,56.25,14.29,22.78,54.55,15.65,24.32,68.75,22.00,33.33,72.00,26.87,39.13,69.64,21.06,32.34
BERT-Base,61,81.82,53.73,64.86,57.83,28.07,37.80,45.31,23.02,30.53,38.10,21.77,27.71,61.02,36.00,45.28,45.31,43.28,44.27,58.02,34.73,43.45
BERT-Base,14,91.53,26.87,41.54,46.15,14.04,21.52,59.38,15.08,24.05,33.96,12.24,18.00,51.02,25.00,33.56,42.31,16.42,23.66,55.72,18.60,27.89
BERT-Base,89,79.31,57.21,66.47,48.19,23.39,31.50,48.75,30.95,37.86,40.22,25.85,31.47,53.97,34.00,41.72,53.97,52.24,53.09,56.84,37.07,44.87
BERT-Base,63,87.60,52.74,65.84,52.87,26.90,35.66,53.23,26.19,35.11,40.70,23.81,30.04,62.75,32.00,42.38,64.00,49.25,55.67,62.14,35.10,44.86
BERT-Base,16,81.90,47.26,59.94,58.33,24.56,34.57,36.71,23.02,28.29,47.14,21.77,29.78,59.68,37.00,45.68,60.47,38.81,47.27,59.28,32.14,41.68
BERT-Base,85,81.45,50.25,62.15,47.06,23.39,31.25,48.53,26.19,34.02,37.21,21.77,27.47,55.93,33.00,41.51,61.11,50.75,55.45,57.14,33.62,42.33
BERT-Base,87,82.40,51.24,63.19,52.44,25.15,33.99,50.77,26.19,34.55,51.35,26.53,34.99,52.17,36.00,42.60,58.82,46.27,51.80,60.73,35.10,44.49
BERT-Base,18,91.67,32.84,48.35,64.15,19.88,30.36,55.26,16.67,25.61,21.05,10.88,14.35,42.55,20.00,27.21,53.85,10.45,17.50,54.85,20.20,29.52
BERT-Base,81,83.90,49.25,62.07,51.56,19.30,28.09,44.83,20.63,28.26,37.50,23.13,28.61,56.86,29.00,38.41,64.15,52.24,57.59,58.80,31.53,41.05
BERT-Base,83,82.84,55.22,66.27,52.38,25.73,34.51,49.25,26.19,34.20,41.03,22.45,29.02,52.63,40.00,45.45,53.23,50.75,51.96,58.48,36.33,44.82
BERT-Base,69,81.20,47.26,59.75,50.70,21.05,29.75,37.88,19.84,26.04,43.21,24.49,31.26,56.45,35.00,43.21,51.85,41.79,46.28,56.32,31.40,40.32
BERT-Base,113,80.67,47.76,60.00,54.84,19.88,29.18,49.02,19.84,28.25,36.90,21.09,26.84,66.67,36.00,46.75,58.49,47.76,52.58,59.81,31.28,41.08
BERT-Base,6,95.45,10.45,18.83,58.33,4.09,7.65,33.33,3.17,5.80,35.71,3.40,6.21,64.29,9.00,15.79,100.00,2.99,5.80,63.16,5.91,10.81
BERT-Base,28,85.37,52.24,64.81,48.39,26.32,34.09,48.53,26.19,34.02,41.18,23.13,29.62,48.75,39.00,43.33,47.54,43.28,45.31,56.08,35.10,43.17
BERT-Base,111,81.90,47.26,59.94,55.74,19.88,29.31,54.55,19.05,28.24,42.31,22.45,29.33,66.04,35.00,45.75,57.41,47.76,52.14,62.07,31.16,41.49
BERT-Base,4,90.91,9.95,17.94,75.00,7.02,12.83,26.67,3.17,5.67,27.78,3.40,6.06,29.41,5.00,8.55,100.00,2.99,5.80,53.33,5.91,10.64
BERT-Base,2,89.47,8.46,15.45,46.67,4.09,7.53,13.33,1.59,2.84,13.33,1.36,2.47,13.33,2.00,3.48,20.00,1.49,2.78,36.90,3.82,6.92
BERT-Base,59,78.67,58.71,67.24,40.80,29.82,34.46,32.61,23.81,27.52,34.48,20.41,25.64,54.05,40.00,45.98,67.35,49.25,56.90,52.34,37.19,43.48
BERT-Base,117,81.75,51.24,63.00,54.10,19.30,28.45,54.72,23.02,32.40,40.51,21.77,28.32,66.67,36.00,46.75,60.71,52.24,56.16,62.24,33.00,43.14
BERT-Base,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BERT-Base,115,82.11,50.25,62.35,55.00,19.30,28.57,50.00,22.22,30.77,40.74,22.45,28.95,65.45,36.00,46.45,63.46,50.75,56.40,61.83,32.64,42.72
BERT-Base,119,80.15,52.24,63.25,55.74,19.88,29.31,51.85,22.22,31.11,39.02,21.77,27.95,67.86,38.00,48.72,56.67,52.24,54.36,61.04,33.50,43.26
BERT-Base,57,82.11,50.25,62.35,51.81,25.15,33.86,50.00,21.43,30.00,40.59,28.57,33.54,51.61,32.00,39.51,51.85,43.28,47.18,57.02,33.74,42.40
BERT-Base,22,78.89,35.32,48.80,41.33,18.13,25.20,41.67,19.84,26.88,36.23,17.69,23.77,45.28,24.00,31.37,52.38,16.42,25.00,50.82,23.15,31.81
BERT-Base,55,83.47,50.25,62.73,52.38,25.73,34.51,50.88,23.02,31.69,46.99,27.21,34.46,61.90,39.00,47.85,61.76,32.84,42.88,61.76,33.87,43.75
BERT-Base,20,79.84,51.24,62.42,55.68,28.65,37.84,36.49,21.43,27.00,40.45,25.17,31.03,52.94,36.00,42.86,54.00,41.79,47.12,55.82,34.48,42.63
BERT-Base,53,81.82,53.73,64.86,58.43,29.82,39.49,35.90,22.22,27.45,44.71,26.53,33.30,55.36,31.00,39.74,62.86,34.33,44.41,58.74,34.48,43.45
BERT-Base,26,90.91,39.80,55.36,50.00,16.37,24.67,35.19,15.08,21.11,40.91,12.24,18.85,52.54,31.00,38.99,44.44,17.91,25.53,57.32,23.15,32.98
BERT-Base,8,96.15,24.88,39.53,44.19,11.11,17.76,48.48,12.70,20.13,28.95,6.80,11.02,40.00,16.00,22.86,50.00,14.93,22.99,53.98,14.90,23.36
BERT-Base,51,85.71,47.76,61.34,46.75,21.05,29.03,38.18,16.67,23.20,35.58,25.17,29.48,56.14,32.00,40.76,49.06,40.30,44.25,54.15,30.67,39.16
BERT-Base,24,84.62,27.36,41.35,50.00,15.20,23.32,35.14,10.32,15.95,40.00,10.20,16.26,59.09,26.00,36.11,30.00,8.96,13.79,55.34,17.36,26.43
BERT-Base,105,83.47,50.25,62.73,52.11,21.64,30.58,46.03,23.02,30.69,34.88,20.41,25.75,62.07,36.00,45.57,61.54,49.25,54.72,58.76,32.76,42.07
BERT-Base,49,88.24,44.78,59.41,62.50,14.62,23.70,64.29,14.29,23.38,48.15,18.37,26.59,68.89,31.00,42.76,58.70,41.79,48.82,68.89,26.97,38.76
BERT-Base,107,81.90,47.26,59.94,52.24,20.47,29.41,44.83,20.63,28.26,34.48,20.41,25.64,60.00,36.00,45.00,62.50,46.27,53.17,57.80,31.16,40.49
BERT-Base,101,81.20,47.26,59.75,51.52,19.88,28.69,41.54,21.43,28.27,39.29,22.45,28.57,62.50,35.00,44.87,58.49,47.76,52.58,57.82,31.53,40.81
BERT-Base,103,81.20,47.26,59.75,55.56,20.47,29.91,42.00,16.67,23.86,38.96,20.41,26.79,60.78,31.00,41.06,56.60,46.27,50.92,58.88,29.93,39.68
BERT-Base,38,87.39,51.74,65.00,54.44,28.65,37.55,54.24,25.40,34.59,47.76,21.77,29.91,61.11,33.00,42.86,60.42,44.78,51.43,63.84,34.48,44.78
BERT-Base,34,92.68,37.81,53.71,50.77,19.30,27.97,36.36,15.87,22.10,25.00,12.93,17.04,40.00,16.00,22.86,64.29,13.43,22.22,52.11,21.31,30.24
BERT-Base,41,92.41,36.32,52.14,64.29,21.05,31.72,44.44,15.87,23.39,36.76,17.01,23.26,51.02,25.00,33.56,51.43,26.87,35.29,59.34,24.26,34.44
BERT-Base,36,87.74,46.27,60.59,61.76,24.56,35.15,52.08,19.84,28.74,41.49,27.21,32.87,52.31,34.00,41.21,53.33,35.82,42.86,60.33,31.77,41.62
BERT-Base,43,86.36,47.26,61.09,60.81,26.32,36.73,51.85,22.22,31.11,40.00,21.09,27.62,59.02,36.00,44.72,57.50,34.33,42.99,62.08,31.77,42.03
BERT-Base,30,80.92,52.74,63.86,48.04,28.65,35.90,56.86,23.02,32.77,36.36,23.81,28.78,53.42,39.00,45.09,42.62,38.81,40.62,55.13,34.98,42.80
BERT-Base,45,79.86,55.22,65.29,51.96,30.99,38.83,38.27,24.60,29.95,39.02,21.77,27.95,63.08,41.00,49.70,53.12,52.24,52.68,56.66,37.32,45.00
BERT-Base,109,80.51,47.26,59.56,52.86,21.64,30.71,49.09,21.43,29.83,46.67,23.81,31.53,62.12,41.00,49.40,60.00,46.27,52.25,61.06,32.76,42.64
BERT-Base,32,87.37,41.29,56.08,45.07,18.71,26.45,36.59,11.90,17.96,33.33,18.37,23.68,56.67,34.00,42.50,71.88,34.33,46.46,56.32,26.35,35.91
BERT-Base,47,85.85,45.27,59.28,53.16,24.56,33.60,37.70,18.25,24.60,36.90,21.09,26.84,38.27,31.00,34.25,50.91,43.28,46.79,52.79,30.42,38.60
BERT-Small,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BERT-Small,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BERT-Small,59,83.59,53.23,65.05,51.65,27.49,35.88,52.00,20.63,29.55,30.86,17.01,21.93,50.88,29.00,36.94,62.50,37.31,46.73,57.94,31.90,41.14
BERT-Small,4,93.10,13.43,23.48,32.14,5.26,9.05,21.88,5.56,8.86,26.09,4.08,7.06,0.00,0.00,0.00,0.00,0.00,0.00,42.98,6.03,10.58
BERT-Small,6,100.00,8.96,16.44,33.33,3.51,6.35,10.53,1.59,2.76,31.58,4.08,7.23,0.00,0.00,0.00,0.00,0.00,0.00,41.03,3.94,7.19
BERT-Small,28,81.16,55.72,66.08,52.27,26.90,35.52,39.19,23.02,29.00,25.84,15.65,19.49,38.64,17.00,23.61,48.78,31.34,38.16,52.11,30.54,38.51
BERT-Small,24,84.75,49.75,62.70,60.87,24.56,35.00,34.18,21.43,26.34,23.29,11.56,15.45,20.00,3.00,5.22,100.00,1.49,2.94,53.52,23.40,32.56
BERT-Small,51,84.68,52.24,64.62,58.23,26.90,36.80,42.59,18.25,25.56,39.47,20.41,26.91,57.69,30.00,39.47,53.66,32.84,40.74,60.09,31.53,41.36
BERT-Small,26,92.86,45.27,60.87,65.45,21.05,31.86,40.00,19.05,25.81,27.85,14.97,19.47,30.77,16.00,21.05,80.00,13.43,23.00,55.65,24.38,33.91
BERT-Small,53,85.71,50.75,63.75,52.81,27.49,36.15,43.10,19.84,27.17,33.33,14.97,20.66,57.41,31.00,40.26,63.16,35.82,45.71,59.20,30.91,40.61
BERT-Small,8,95.16,29.35,44.87,50.00,13.45,21.20,16.36,7.14,9.94,14.63,4.08,6.38,66.67,2.00,3.88,0.00,0.00,0.00,47.83,12.19,19.43
BERT-Small,20,86.24,46.77,60.65,58.11,25.15,35.10,26.32,15.87,19.80,20.21,12.93,15.77,21.43,6.00,9.38,0.00,0.00,0.00,47.40,22.41,30.43
BERT-Small,55,83.70,56.22,67.26,51.65,27.49,35.88,41.79,22.22,29.02,30.14,14.97,20.00,56.00,28.00,37.33,63.89,34.33,44.66,57.74,32.14,41.30
BERT-Small,22,84.68,46.77,60.26,51.76,25.73,34.38,25.00,19.05,21.62,18.68,11.56,14.29,30.56,11.00,16.18,71.43,7.46,13.51,45.77,24.01,31.50
BERT-Small,57,81.29,56.22,66.47,51.11,26.90,35.25,38.55,25.40,30.62,34.67,17.69,23.42,58.00,29.00,38.67,64.86,37.31,47.37,56.96,33.37,42.09
BERT-Small,38,84.56,57.21,68.25,53.93,28.07,36.92,31.46,22.22,26.05,29.89,17.69,22.22,42.59,23.00,29.87,65.62,31.34,42.42,53.59,32.14,40.18
BERT-Small,49,86.05,55.22,67.27,55.84,25.15,34.68,32.10,20.63,25.12,19.78,12.24,15.13,55.56,15.00,23.62,73.33,32.84,45.36,54.02,28.94,37.69
BERT-Small,47,81.43,56.72,66.86,50.00,26.32,34.48,37.33,22.22,27.86,30.49,17.01,21.83,66.67,30.00,41.38,59.46,32.84,42.31,56.29,32.51,41.22
BERT-Small,32,97.56,19.90,33.06,62.50,11.70,19.70,9.52,3.17,4.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.38,7.88,13.29
BERT-Small,45,81.68,53.23,64.46,53.75,25.15,34.26,39.66,18.25,25.00,31.03,18.37,23.08,60.71,17.00,26.56,70.97,32.84,44.90,57.59,29.43,38.96
BERT-Small,30,86.51,54.23,66.67,48.89,25.73,33.72,29.07,19.84,23.58,30.21,19.73,23.87,33.87,21.00,25.93,55.56,7.46,13.16,49.68,28.69,36.38
BERT-Small,43,76.39,54.73,63.77,54.65,27.49,36.58,31.33,20.63,24.88,28.57,12.24,17.14,57.14,24.00,33.80,61.54,11.94,20.00,54.06,28.69,37.49
